date,value
2020-03-31,1344592.3341739648
2020-06-30,1387464.741516674
2020-09-30,1467406.3571065154
2020-12-31,1507134.9695417557
2021-03-31,1429309.4893009444
2021-06-30,1530684.0636006722
2021-09-30,1612936.2240378777
2021-12-31,1661039.0460233868
2022-03-31,1650833.2754010558
2022-06-30,1665666.3696275295
2022-09-30,1716875.317342918
2022-12-31,1923299.3074298343
2023-03-31,2044096.2790718558
2023-06-30,2278686.177097591
2023-09-30,2425763.505380148
2023-12-31,2154731.6511607673
2024-03-31,2154083.8921826063
2024-06-30,2326476.3413134287
2024-09-30,2398110.7528238487
2024-12-31,2627686.203354097
2025-03-31,2732161.2983878795
2025-06-30,2716641.6339118243
