date,value
2020-03-31,801348.2352290133
2020-06-30,810261.4736539894
2020-09-30,829803.0192154073
2020-12-31,832124.8843823493
2021-03-31,879659.7297866598
2021-06-30,882133.5165220228
2021-09-30,884153.2594086332
2021-12-31,904134.2579881066
2022-03-31,904199.616457361
2022-06-30,885567.1425310463
2022-09-30,877622.2050551742
2022-12-31,878085.8853179289
2023-03-31,899410.2817926165
2023-06-30,939485.0355234765
2023-09-30,940707.0572533831
2023-12-31,927007.3746131463
2024-03-31,941960.6813072078
2024-06-30,939294.538095966
2024-09-30,941242.5552545481
2024-12-31,924952.5395510474
2025-03-31,940909.0298520854
2025-06-30,964717.6312414967
