date,value
2020-01-31,36541.54895126138
2020-02-29,37165.60254125048
2020-03-31,33414.65997134462
2020-04-30,38328.240918461284
2020-05-31,48583.759256692465
2020-06-30,47626.87773392846
2020-07-31,45611.75325278079
2020-08-31,43814.37845242419
2020-09-30,38412.464226262106
2020-10-31,49721.882332933936
2020-11-30,52881.72899367352
2020-12-31,49343.03488962966
2021-01-31,41624.57436147159
2021-02-28,44569.73872915367
2021-03-31,57011.49722724701
2021-04-30,55863.79858723895
2021-05-31,49359.81752326095
2021-06-30,44485.054656135515
2021-07-31,46460.74594841965
2021-08-31,47700.57905299877
2021-09-30,51645.653264942724
2021-10-31,44718.08251126997
2021-11-30,43592.69426870978
2021-12-31,47509.94370243973
2022-01-31,55830.33820528674
2022-02-28,65552.89303323363
2022-03-31,67540.299648515
2022-04-30,64339.754365911205
2022-05-31,56044.58695285225
2022-06-30,56526.480079604415
2022-07-31,65394.11722046995
2022-08-31,84118.62115842025
2022-09-30,67007.95308119834
2022-10-31,65497.176511205675
2022-11-30,59096.20754066505
2022-12-31,72614.55116695646
2023-01-31,93053.94681979872
2023-02-28,66731.84425889241
2023-03-31,78431.07115711807
2023-04-30,56205.25713464482
2023-05-31,51652.79422892487
2023-06-30,44937.53191509321
2023-07-31,48394.2813908962
2023-08-31,60545.923403120476
2023-09-30,58144.41951644056
2023-10-31,70261.40120532922
2023-11-30,63312.29986256166
2023-12-31,90354.10645594301
2024-01-31,77848.25555939636
2024-02-29,84711.45921330749
2024-03-31,72269.31435160259
2024-04-30,73845.49777086035
2024-05-31,65055.77178133316
2024-06-30,53869.96950123527
2024-07-31,63218.514929814
2024-08-31,78244.59925105344
2024-09-30,96428.66922367114
2024-10-31,89982.14262357063
2024-11-30,86515.49339852844
2024-12-31,99405.0632431487
2025-01-31,107100.6838640525
2025-02-28,115951.4452592772
2025-03-31,127214.10065776629
2025-04-30,130232.61223309305
2025-05-31,60586.983676898686
2025-06-30,77056.8898706316
2025-07-31,77733.04259487137
